"AcceptedTaxonID","Kingdom","Phylum","Class","Order","Superfamily","Family","Genus","SubGenusName","Species","AuthorString","GSDNameStatus","Sp2000NameStatus","IsExtinct","HasPreHolocene","HasModern","LifeZone","AdditionalData","LTSSpecialist","LTSDate","SpeciesURL","GSDTaxonGUI","GSDNameGUI"
414,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Machaerota","","philippinensis","Baker, 1919","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=592",,
416,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Machaerota","","punctatonervosa","Signoret, 1879","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=596",,
418,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Machaerota","","rastrata","(Walker, 1870)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=598",,
419,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Machaerota","","subnasuta","Maa, 1949","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=601",,
420,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Machaerota","","takeuchii","Kato, 1931","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=602",,
421,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Conditor","","collatatus","Distant, 1916","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=604",,
436,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Maxudea","","crassiventris","Schmidt, 1907","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=626",,
439,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Cercopidae","Rhinastria","","bicolor","Kirby, 1891","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=629",,
440,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Cercopidae","Callitettix","","biformis","Lallemand, 1927","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=630",,
441,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Cercopidae","Callitettix","","braconoides","(Walker, 1858)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=631",,
442,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Cercopidae","Callitettix","","carinifrons","Noualhier, 1904","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=634",,
