"ID","AcceptedTaxonID","Genus","SubGenusName","Species","AuthorString","InfraSpecies","InfraSpecificMarker","InfraSpecificAuthorString","GSDNameStatus","Sp2000NameStatus","GSDNameGUI"
1501,2876,"Triecphora","","punctigera","(Germar, 1821)","",,"","new combination, valid: No","Unambiguous Synonym",
1529,2877,"Sphenorhina","","scindens","Walker, 1858","",,"","original combination, valid: No","Unambiguous Synonym",
1532,2877,"Maxantonia","","scindens","(Walker, 1858)","",,"","new combination, valid: No","Unambiguous Synonym",
1494,2874,"Tomaspis","","divisa","Walker, 1851","",,"","original combination, valid: No","Unambiguous Synonym",
1052,3381,"Tomaspis","","trifasciata","Melichar, 1915","",,"","original combination, valid: No","Unambiguous Synonym",
1493,2874,"Triecphora","","plagiata","(Burmeister, 1835)","",,"","new combination, valid: No","Unambiguous Synonym",
1495,2874,"Tomaspis","","plagiata","(Burmeister, 1835)","",,"","new combination, valid: No","Unambiguous Synonym",
3899,2874,"Triecphora","","divisa","(Walker, 1851)","",,"","new combination, valid: No","Unambiguous Synonym",
1492,2874,"Cercopis","","plagiata","Burmeister, 1835","",,"","original combination, valid: No","Unambiguous Synonym",
1531,2877,"Maxantonia","","cantatrix","Schmidt, 1922","",,"","original combination, valid: No","Unambiguous Synonym",
1534,2878,"Triecphora","","signifera","Lallemand, 1938","",,"","original combination, valid: No","Unambiguous Synonym",
1536,2879,"Triecphora","","speciosa","Lallemand, 1924","",,"","original combination, valid: No","Unambiguous Synonym",
2427,1503,"Hyboscarta","","rubicunda","Jacobi, 1908","",,"","original combination, valid: No","Unambiguous Synonym",
4735,2716,"Neosigmasoma","","manglunensis","Lu, 1982","",,"","original combination, valid: No","Unambiguous Synonym",
4732,2729,"Taihorina","","sparsuta","(Jacobi, 1944)","",,"","new combination, valid: No","Unambiguous Synonym",
554,2729,"Hindoloides","","sparsuta","Jacobi, 1944","",,"","original combination, valid: No","Unambiguous Synonym",
1505,3003,"Triecphora","","scita","Walker, 1851","",,"","original combination, valid: No","Unambiguous Synonym",
3197,2896,"Ptyelus","","subnigricans","Walker, 1858","",,"","original combination, valid: No","Unambiguous Synonym",
3092,2906,"Poophilus","","hebridensis","Lallemand, 1942","",,"","original combination, valid: No","Unambiguous Synonym",
1183,3057,"Delassor","","andigenus","(Jacobi, 1908)","",,"","new combination, valid: No","Unambiguous Synonym",
1152,761,"Aphrophora","","cribrata","Lethierry, 1890","",,"","original combination, valid: No","Unambiguous Synonym",
4877,2434,"Ptyelus","","detritus","Walker, 1851","",,"","original combination, valid: No","Unambiguous Synonym",
4883,1919,"Ptyelus","","goudoti","","a",,"(Bennett, 1833)","new combination, valid: No","Unambiguous Synonym",
3132,1919,"Aphrophora","","goudoti","Bennett, 1833","",,"","original combination, valid: No","Unambiguous Synonym",
