"AcceptedTaxonID","DistributionElement","StandardInUse","DistributionStatus"
678,"CPPEC,CPPNC,CPPWC,NATOO,OFSOO,TVLGA,TVLMP,TVLNP,TVLNW","TDWG Level 4 code","native"
678,"KENOO","TDWG Level 4 code","native"
678,"ZAIOO","TDWG Level 4 code","native"
679,"SAMWS","TDWG Level 4 code","native"
680,"PHIOO","TDWG Level 4 code","native"
681,"50","TDWG Level 4 code","native"
682,"IND","TDWG Level 4 code","native"
683,"50","TDWG Level 4 code","native"
684,"PHIOO","TDWG Level 4 code","native"
685,"CHSHN","TDWG Level 4 code","native"
685,"JAP","TDWG Level 4 code","native"
685,"JAPHN","TDWG Level 4 code","native"
685,"KOR","TDWG Level 4 code","native"
685,"KORSK","TDWG Level 4 code","native"
685,"TAIOO","TDWG Level 4 code","native"
686,"BANOO","TDWG Level 4 code","native"
687,"TAIOO","TDWG Level 4 code","native"
688,"84","TDWG Level 4 code","native"
688,"GUYOO","TDWG Level 4 code","native"
688,"PANOO","TDWG Level 4 code","native"
688,"TRTOO","TDWG Level 4 code","native"
689,"GUYOO","TDWG Level 4 code","native"
691,"84","TDWG Level 4 code","native"
692,"FRAFR","TDWG Level 4 code","native"
692,"GRCOO","TDWG Level 4 code","native"
692,"ITAIT","TDWG Level 4 code","native"
692,"SAROO","TDWG Level 4 code","native"
692,"SPASP","TDWG Level 4 code","native"
693,"BRCOO","TDWG Level 4 code","native"
693,"CNTOO","TDWG Level 4 code","native"
693,"MANOO","TDWG Level 4 code","native"
693,"NBROO","TDWG Level 4 code","native"
693,"NCAOO","TDWG Level 4 code","native"
693,"NWYOO","TDWG Level 4 code","native"
693,"ONTOO","TDWG Level 4 code","native"
693,"PENOO","TDWG Level 4 code","native"
693,"QUEOO","TDWG Level 4 code","native"
693,"RHOOO","TDWG Level 4 code","native"
693,"SASOO","TDWG Level 4 code","native"
696,"ALAOO","TDWG Level 4 code","native"
696,"COLOO","TDWG Level 4 code","native"
696,"DELOO","TDWG Level 4 code","native"
696,"FLA","TDWG Level 4 code","native"
696,"GEOOO","TDWG Level 4 code","native"
696,"LOUOO","TDWG Level 4 code","native"
696,"MINOO","TDWG Level 4 code","native"
696,"MRYOO","TDWG Level 4 code","native"
696,"MSIOO","TDWG Level 4 code","native"
696,"NCAOO","TDWG Level 4 code","native"
696,"NWJOO","TDWG Level 4 code","native"
696,"NWMOO","TDWG Level 4 code","native"
696,"NWYOO","TDWG Level 4 code","native"
696,"ONTOO","TDWG Level 4 code","native"
696,"PENOO","TDWG Level 4 code","native"
