"AcceptedTaxonID","Kingdom","Phylum","Class","Order","Superfamily","Family","Genus","SubGenusName","Species","AuthorString","GSDNameStatus","Sp2000NameStatus","IsExtinct","HasPreHolocene","HasModern","LifeZone","AdditionalData","LTSSpecialist","LTSDate","SpeciesURL","GSDTaxonGUI","GSDNameGUI"
11412,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Lophopidae","Maana","","emeljanovi","Soulier-Perkins & Bourgoin, 2006","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16695&page=explorer&db=flow",,
11417,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Flatidae","Atracodes","","longifrons","Fennah, 1965","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16701&page=explorer&db=flow",,
11418,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Flatidae","Atracodes","","sanctaeluciae","Fennah, 1965","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16702&page=explorer&db=flow",,
11419,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Flatidae","Derisa","","pallida","Fennah, 1964","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16703&page=explorer&db=flow",,
11422,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Flatidae","Cyarda","","monae","Fennah, 1965","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16706&page=explorer&db=flow",,
11423,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Flatidae","Cyarda","","casuarinae","Fennah, 1965","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16707&page=explorer&db=flow",,
11424,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Flatidae","Cyarda","","sordida","Fennah, 1965","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16708&page=explorer&db=flow",,
11425,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Flatidae","Cyarda","","lycidas","Fennah, 1965","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16709&page=explorer&db=flow",,
11426,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Flatidae","Cyarda","","rex","Fennah, 1965","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16710&page=explorer&db=flow",,
11427,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Flatidae","Cyarda","","regina","Fennah, 1965","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16711&page=explorer&db=flow",,
11428,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Flatidae","Cyphopterum","","posterius","Lindberg, 1965","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16712&page=explorer&db=flow",,
11429,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Flatidae","Cyphopterum","","minus","Lindberg, 1965","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16713&page=explorer&db=flow",,
