"AcceptedTaxonID","ParentSpeciesID","InfraSpeciesEpithet","InfraSpeciesAuthorString","InfraSpeciesMarker","GSDNameStatus","Sp2000NameStatus","IsExtinct","HasPreHolocene","HasModern","LifeZone","AdditionalData","LTSSpecialist","LTSDate","InfraSpeciesURL","GSDTaxonGUI","GSDNameGUI"
18785,18782,"resima","(Stål, 1855)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=26608&page=explorer&db=flow",,
18787,18782,"consanguinea","(Distant, 1906)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=26611&page=explorer&db=flow",,
18830,9388,"punicea","(Hope, 1843)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=26663&page=explorer&db=flow",,
18835,9387,"operosa","(Walker, 1858)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=26673&page=explorer&db=flow",,
18836,9387,"jole","Stål, 1863",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=26676&page=explorer&db=flow",,
18869,9410,"f. procera","Schmidt, 1911",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=26731&page=explorer&db=flow",,
18913,17429,"occultus","(Baker, 1925)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=24759&page=explorer&db=flow",,
18914,6492,"var. bella","(Stål, 1959)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=26799&page=explorer&db=flow",,
18915,6573,"var. centralis","(Lallemand, 1928)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=26801&page=explorer&db=flow",,
18916,6573,"var. minuta","(Lallemand, 1928)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=26803&page=explorer&db=flow",,
18917,6573,"var. pallida","(Lallemand, 1928)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=26805&page=explorer&db=flow",,
18918,6528,"var. carinifrons","(Stål, 1859)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=26810&page=explorer&db=flow",,
18924,6180,"var.-","(Distant, 1917)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=26819&page=explorer&db=flow",,
18976,18975,"puertoricensis","(Caldwell, 1951)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=26885&page=explorer&db=flow",,
19066,13355,"var. bipunctatus","Metcalf & Bruner, 1948",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=26999&page=explorer&db=flow",,
19067,13355,"var. humeralis","Metcalf & Bruner, 1948",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=27000&page=explorer&db=flow",,
19081,10322,"bullata","(Metcalf, 1938)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=27040&page=explorer&db=flow",,
19123,13080,"var. completa","(Walker, 1851)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=27104&page=explorer&db=flow",,
