"AcceptedTaxonID","DistributionElement","StandardInUse","DistributionStatus"
444,"30","TDWG Level 4 code","native"
444,"31","TDWG Level 4 code","native"
444,"32","TDWG Level 4 code","native"
444,"33","TDWG Level 4 code","native"
445,"ETHOO","TDWG Level 4 code","native"
445,"SUDOO","TDWG Level 4 code","native"
446,"MDGOO","TDWG Level 4 code","native"
447,"31","TDWG Level 4 code","native"
447,"14","TDWG Level 4 code","native"
447,"13","TDWG Level 4 code","native"
447,"30","TDWG Level 4 code","native"
447,"HUNOO","TDWG Level 4 code","native"
447,"33","TDWG Level 4 code","native"
447,"GEROO","TDWG Level 4 code","native"
447,"32","TDWG Level 4 code","native"
448,"1","TDWG Level 4 code","native"
448,"CHM","TDWG Level 4 code","native"
448,"MORMO","TDWG Level 4 code","native"
449,"TAIOO","TDWG Level 4 code","native"
450,"36","TDWG Level 4 code","native"
450,"IND","TDWG Level 4 code","native"
450,"SRLOO","TDWG Level 4 code","native"
451,"LBSSY","TDWG Level 4 code","native"
452,"AUTAU","TDWG Level 4 code","native"
452,"GEROO","TDWG Level 4 code","native"
452,"POLOO","TDWG Level 4 code","native"
453,"IND","TDWG Level 4 code","native"
454,"INDWB","TDWG Level 4 code","native"
455,"CZECZ","TDWG Level 4 code","native"
455,"CZESK","TDWG Level 4 code","native"
455,"FRAFR","TDWG Level 4 code","native"
455,"GEROO","TDWG Level 4 code","native"
455,"POLOO","TDWG Level 4 code","native"
456,"36","TDWG Level 4 code","native"
456,"JAP","TDWG Level 4 code","native"
457,"BUROO","TDWG Level 4 code","native"
457,"KENOO","TDWG Level 4 code","native"
457,"RWAOO","TDWG Level 4 code","native"
458,"1","TDWG Level 4 code","native"
459,"CONOO","TDWG Level 4 code","native"
459,"ZAIOO","TDWG Level 4 code","native"
460,"26","TDWG Level 4 code","native"
460,"27","TDWG Level 4 code","native"
460,"CMNOO","TDWG Level 4 code","native"
461,"26","TDWG Level 4 code","native"
461,"27","TDWG Level 4 code","native"
462,"CONOO","TDWG Level 4 code","native"
462,"ZAIOO","TDWG Level 4 code","native"
463,"26","TDWG Level 4 code","native"
463,"27","TDWG Level 4 code","native"
464,"CONOO","TDWG Level 4 code","native"
464,"ZAIOO","TDWG Level 4 code","native"
465,"ALGOO","TDWG Level 4 code","native"
465,"GEROO","TDWG Level 4 code","native"
465,"IVOOO","TDWG Level 4 code","native"
465,"NGROO","TDWG Level 4 code","native"
465,"SENOO","TDWG Level 4 code","native"
465,"TUNOO","TDWG Level 4 code","native"
466,"26","TDWG Level 4 code","native"
466,"27","TDWG Level 4 code","native"
467,"CZESK","TDWG Level 4 code","native"
467,"UKRMO","TDWG Level 4 code","native"
467,"YUG","TDWG Level 4 code","native"
467,"ROMOO","TDWG Level 4 code","native"
467,"ALBOO","TDWG Level 4 code","native"
467,"YUGMA","TDWG Level 4 code","native"
467,"GEROO","TDWG Level 4 code","native"
467,"YUGSL","TDWG Level 4 code","native"
467,"YUGCR","TDWG Level 4 code","native"
467,"POLOO","TDWG Level 4 code","native"
467,"BULOO","TDWG Level 4 code","native"
467,"YUGBH","TDWG Level 4 code","native"
467,"CZECZ","TDWG Level 4 code","native"
467,"AUTAU","TDWG Level 4 code","native"
467,"HUNOO","TDWG Level 4 code","native"
468,"MONOO","TDWG Level 4 code","native"
469,"MOZOO","TDWG Level 4 code","native"
470,"JAP","TDWG Level 4 code","native"
470,"TAIOO","TDWG Level 4 code","native"
471,"NGAOO","TDWG Level 4 code","native"
472,"ANGOO","TDWG Level 4 code","native"
473,"ALGOO","TDWG Level 4 code","native"
473,"SICSI","TDWG Level 4 code","native"
473,"TUNOO","TDWG Level 4 code","native"
474,"26","TDWG Level 4 code","native"
474,"27","TDWG Level 4 code","native"
475,"BUROO","TDWG Level 4 code","native"
475,"CONOO","TDWG Level 4 code","native"
475,"RWAOO","TDWG Level 4 code","native"
475,"ZAIOO","TDWG Level 4 code","native"
476,"SAUOO","TDWG Level 4 code","native"
476,"SOMOO","TDWG Level 4 code","native"
476,"SUDOO","TDWG Level 4 code","native"
477,"TANOO","TDWG Level 4 code","native"
478,"MDGOO","TDWG Level 4 code","native"
479,"NSWNS","TDWG Level 4 code","native"
480,"NGAOO","TDWG Level 4 code","native"
481,"CONOO","TDWG Level 4 code","native"
481,"ZAIOO","TDWG Level 4 code","native"
482,"GAMOO","TDWG Level 4 code","native"
482,"IND","TDWG Level 4 code","native"
482,"SENOO","TDWG Level 4 code","native"
483,"CZESK","TDWG Level 4 code","native"
483,"ITAIT","TDWG Level 4 code","native"
483,"GRCOO","TDWG Level 4 code","native"
483,"YUGMN","TDWG Level 4 code","native"
483,"YUGSE","TDWG Level 4 code","native"
483,"ALBOO","TDWG Level 4 code","native"
483,"YUGMA","TDWG Level 4 code","native"
483,"YUGSL","TDWG Level 4 code","native"
483,"AUTAU","TDWG Level 4 code","native"
483,"POROO","TDWG Level 4 code","native"
483,"SPASP","TDWG Level 4 code","native"
483,"UKRMO","TDWG Level 4 code","native"
483,"SICMA","TDWG Level 4 code","native"
483,"YUG","TDWG Level 4 code","native"
483,"ROMOO","TDWG Level 4 code","native"
483,"GEROO","TDWG Level 4 code","native"
483,"YUGCR","TDWG Level 4 code","native"
483,"POLOO","TDWG Level 4 code","native"
483,"BULOO","TDWG Level 4 code","native"
483,"YUGBH","TDWG Level 4 code","native"
483,"CZECZ","TDWG Level 4 code","native"
483,"HUNOO","TDWG Level 4 code","native"
484,"CONOO","TDWG Level 4 code","native"
484,"ZAIOO","TDWG Level 4 code","native"
485,"IND","TDWG Level 4 code","native"
486,"JAW","TDWG Level 4 code","native"
486,"PHIOO","TDWG Level 4 code","native"
486,"SRLOO","TDWG Level 4 code","native"
487,"ERIOO","TDWG Level 4 code","native"
488,"26","TDWG Level 4 code","native"
488,"27","TDWG Level 4 code","native"
489,"ETHOO","TDWG Level 4 code","native"
489,"KENOO","TDWG Level 4 code","native"
489,"TANOO","TDWG Level 4 code","native"
490,"IRQOO","TDWG Level 4 code","native"
490,"SAUOO","TDWG Level 4 code","native"
491,"26","TDWG Level 4 code","native"
491,"27","TDWG Level 4 code","native"
492,"SUDOO","TDWG Level 4 code","native"
493,"IND","TDWG Level 4 code","native"
494,"26","TDWG Level 4 code","native"
494,"27","TDWG Level 4 code","native"
495,"BLTES","TDWG Level 4 code","native"
495,"BLTLA","TDWG Level 4 code","native"
495,"GEROO","TDWG Level 4 code","native"
496,"KAZOO","TDWG Level 4 code","native"
496,"KGZOO","TDWG Level 4 code","native"
496,"TKMOO","TDWG Level 4 code","native"
496,"TZKOO","TDWG Level 4 code","native"
496,"UZBOO","TDWG Level 4 code","native"
497,"22","TDWG Level 4 code","native"
497,"ALGOO","TDWG Level 4 code","native"
497,"SENOO","TDWG Level 4 code","native"
498,"CONOO","TDWG Level 4 code","native"
498,"ZAIOO","TDWG Level 4 code","native"
499,"PHIOO","TDWG Level 4 code","native"
500,"IND","TDWG Level 4 code","native"
501,"QLDQU","TDWG Level 4 code","native"
502,"36","TDWG Level 4 code","native"
503,"IND","TDWG Level 4 code","native"
504,"BORKA,JAWOO,LSIBA,LSILS,MOLOO,NWGIJ,SULOO,SUMOO","TDWG Level 4 code","native"
505,"MDGOO","TDWG Level 4 code","native"
506,"QLDQU","TDWG Level 4 code","native"
507,"TAS","TDWG Level 4 code","native"
508,"NFKLH","TDWG Level 4 code","native"
509,"NSWNS","TDWG Level 4 code","native"
510,"PHIOO","TDWG Level 4 code","native"
511,"BORKA,JAWOO,LSIBA,LSILS,MOLOO,NWGIJ,SULOO,SUMOO","TDWG Level 4 code","native"
512,"BOR","TDWG Level 4 code","native"
512,"PHIOO","TDWG Level 4 code","native"
513,"BOR","TDWG Level 4 code","native"
513,"PHIOO","TDWG Level 4 code","native"
514,"PHIOO","TDWG Level 4 code","native"
515,"CUBOO","TDWG Level 4 code","native"
516,"HAIHA","TDWG Level 4 code","native"
517,"IOWOO","TDWG Level 4 code","native"
517,"MINOO","TDWG Level 4 code","native"
517,"MNTOO","TDWG Level 4 code","native"
518,"NWHOO","TDWG Level 4 code","native"
518,"KANOO","TDWG Level 4 code","native"
518,"MAIOO","TDWG Level 4 code","native"
518,"CNTOO","TDWG Level 4 code","native"
518,"PENOO","TDWG Level 4 code","native"
518,"MASOO","TDWG Level 4 code","native"
518,"NWYOO","TDWG Level 4 code","native"
519,"IOWOO","TDWG Level 4 code","native"
520,"HAIHA","TDWG Level 4 code","native"
521,"PEROO","TDWG Level 4 code","native"
522,"79","TDWG Level 4 code","native"
523,"GUAOO","TDWG Level 4 code","native"
523,"79","TDWG Level 4 code","native"
523,"PANOO","TDWG Level 4 code","native"
523,"CLMOO","TDWG Level 4 code","native"
523,"84","TDWG Level 4 code","native"
523,"CUBOO","TDWG Level 4 code","native"
523,"HAIHA","TDWG Level 4 code","native"
524,"79","TDWG Level 4 code","native"
525,"ECUOO","TDWG Level 4 code","native"
525,"PEROO","TDWG Level 4 code","native"
526,"JAMOO","TDWG Level 4 code","native"
527,"COSOO","TDWG Level 4 code","native"
527,"PANOO","TDWG Level 4 code","native"
528,"COSOO","TDWG Level 4 code","native"
529,"DOMOO","TDWG Level 4 code","native"
530,"84","TDWG Level 4 code","native"
531,"GUAOO","TDWG Level 4 code","native"
531,"NICOO","TDWG Level 4 code","native"
531,"PANOO","TDWG Level 4 code","native"
532,"84","TDWG Level 4 code","native"
532,"CLMOO","TDWG Level 4 code","native"
532,"PEROO","TDWG Level 4 code","native"
532,"VENOO","TDWG Level 4 code","native"
533,"84","TDWG Level 4 code","native"
534,"84","TDWG Level 4 code","native"
535,"COSOO","TDWG Level 4 code","native"
536,"84","TDWG Level 4 code","native"
536,"AGEBA,AGECH,AGECN,AGECO,AGEDF,AGEER,AGEFO,AGELP,AGEMI,AGSCB,AGSNE,AGSRN,AGSSC,AGESF,AGSTF,AGWCA,AGWJU,AGWLR,AGWME,AGWSA,AGWSE,AGWSJ,AGWSL,AGWTU","TDWG Level 4 code","native"
536,"BOLOO","TDWG Level 4 code","native"
536,"FRGOO","TDWG Level 4 code","native"
536,"PAROO","TDWG Level 4 code","native"
537,"BOLOO","TDWG Level 4 code","native"
537,"PAROO","TDWG Level 4 code","native"
537,"PEROO","TDWG Level 4 code","native"
538,"84","TDWG Level 4 code","native"
539,"ECUOO","TDWG Level 4 code","native"
539,"PEROO","TDWG Level 4 code","native"
540,"84","TDWG Level 4 code","native"
541,"PEROO","TDWG Level 4 code","native"
542,"PEROO","TDWG Level 4 code","native"
543,"COSOO","TDWG Level 4 code","native"
544,"BOR","TDWG Level 4 code","native"
544,"BORSB,BORSR,MLYPM","TDWG Level 4 code","native"
545,"CMNOO","TDWG Level 4 code","native"
546,"26","TDWG Level 4 code","native"
546,"27","TDWG Level 4 code","native"
546,"MOZOO","TDWG Level 4 code","native"
546,"TANOO","TDWG Level 4 code","native"
547,"CONOO","TDWG Level 4 code","native"
547,"ZAIOO","TDWG Level 4 code","native"
548,"BUROO","TDWG Level 4 code","native"
548,"RWAOO","TDWG Level 4 code","native"
549,"CMNOO","TDWG Level 4 code","native"
549,"CONOO","TDWG Level 4 code","native"
549,"ZAIOO","TDWG Level 4 code","native"
550,"CMNOO","TDWG Level 4 code","native"
550,"CONOO","TDWG Level 4 code","native"
550,"ZAIOO","TDWG Level 4 code","native"
551,"CONOO","TDWG Level 4 code","native"
551,"ZAIOO","TDWG Level 4 code","native"
552,"22","TDWG Level 4 code","native"
552,"23","TDWG Level 4 code","native"
552,"25","TDWG Level 4 code","native"
553,"CMNOO","TDWG Level 4 code","native"
554,"CONOO","TDWG Level 4 code","native"
554,"TANOO","TDWG Level 4 code","native"
