"AcceptedTaxonID","DistributionElement","StandardInUse","DistributionStatus"
92,"INDMP","TDWG Level 4 code","native"
92,"INDPU","TDWG Level 4 code","native"
92,"INDHA","TDWG Level 4 code","native"
92,"INDUP","TDWG Level 4 code","native"
92,"INDGU","TDWG Level 4 code","native"
93,"SUMOO","TDWG Level 4 code","native"
94,"NSWNS","TDWG Level 4 code","native"
94,"QLDQU","TDWG Level 4 code","native"
95,"NGAOO","TDWG Level 4 code","native"
95,"ZAIOO","TDWG Level 4 code","native"
95,"GHAOO","TDWG Level 4 code","native"
95,"CMNOO","TDWG Level 4 code","native"
95,"IVOOO","TDWG Level 4 code","native"
95,"GUIOO","TDWG Level 4 code","native"
95,"KENOO","TDWG Level 4 code","native"
96,"CMNOO","TDWG Level 4 code","native"
97,"41","TDWG Level 4 code","native"
97,"LAOOO","TDWG Level 4 code","native"
97,"VIEOO","TDWG Level 4 code","native"
98,"BOR","TDWG Level 4 code","native"
98,"SUMOO","TDWG Level 4 code","native"
99,"INDRA","TDWG Level 4 code","native"
99,"CHTOO","TDWG Level 4 code","native"
99,"INDDE","TDWG Level 4 code","native"
99,"INDWB","TDWG Level 4 code","native"
99,"INDBI","TDWG Level 4 code","native"
99,"INDMP","TDWG Level 4 code","native"
99,"INDPU","TDWG Level 4 code","native"
99,"INDHA","TDWG Level 4 code","native"
99,"INDUP","TDWG Level 4 code","native"
99,"ASSAS","TDWG Level 4 code","native"
99,"INDGU","TDWG Level 4 code","native"
100,"ASSAS","TDWG Level 4 code","native"
100,"INDPU","TDWG Level 4 code","native"
101,"ASS","TDWG Level 4 code","native"
101,"BANOO","TDWG Level 4 code","native"
102,"ANGOO","TDWG Level 4 code","native"
102,"ZAIOO","TDWG Level 4 code","native"
103,"ZAIOO","TDWG Level 4 code","native"
104,"MOZOO","TDWG Level 4 code","native"
105,"BOR","TDWG Level 4 code","native"
106,"BOR","TDWG Level 4 code","native"
107,"36","TDWG Level 4 code","native"
107,"SUMOO","TDWG Level 4 code","native"
107,"IND","TDWG Level 4 code","native"
107,"MLYPM","TDWG Level 4 code","native"
107,"BOR","TDWG Level 4 code","native"
108,"BOR","TDWG Level 4 code","native"
109,"BOR","TDWG Level 4 code","native"
110,"INDKT","TDWG Level 4 code","native"
110,"INDKE","TDWG Level 4 code","native"
110,"SRLOO","TDWG Level 4 code","native"
110,"INDAP","TDWG Level 4 code","native"
110,"INDMR","TDWG Level 4 code","native"
110,"INDTN","TDWG Level 4 code","native"
111,"BOR","TDWG Level 4 code","native"
112,"BOR","TDWG Level 4 code","native"
114,"GHAOO","TDWG Level 4 code","native"
114,"ZIMOO","TDWG Level 4 code","native"
115,"CPPEC,CPPNC,CPPWC,NATOO,OFSOO,TVLGA,TVLMP,TVLNP,TVLNW","TDWG Level 4 code","native"
115,"GAMOO","TDWG Level 4 code","native"
115,"NAMOO","TDWG Level 4 code","native"
115,"ZIMOO","TDWG Level 4 code","native"
116,"NSWNS","TDWG Level 4 code","native"
116,"QLDQU","TDWG Level 4 code","native"
117,"CHCSC","TDWG Level 4 code","native"
117,"CHSHN","TDWG Level 4 code","native"
117,"CHSJX","TDWG Level 4 code","native"
118,"CHSGD","TDWG Level 4 code","native"
118,"CHCGZ","TDWG Level 4 code","native"
118,"INDMP","TDWG Level 4 code","native"
118,"INDUP","TDWG Level 4 code","native"
118,"INDTN","TDWG Level 4 code","native"
118,"INDGU","TDWG Level 4 code","native"
118,"INDRA","TDWG Level 4 code","native"
118,"BANOO","TDWG Level 4 code","native"
118,"INDDE","TDWG Level 4 code","native"
118,"PAKOO","TDWG Level 4 code","native"
118,"INDWB","TDWG Level 4 code","native"
118,"EHMSI","TDWG Level 4 code","native"
118,"INDBI","TDWG Level 4 code","native"
118,"ASS","TDWG Level 4 code","native"
118,"EHMBH","TDWG Level 4 code","native"
118,"INDPU","TDWG Level 4 code","native"
118,"INDHA","TDWG Level 4 code","native"
118,"CHSGX","TDWG Level 4 code","native"
119,"41","TDWG Level 4 code","native"
119,"LAOOO","TDWG Level 4 code","native"
119,"VIEOO","TDWG Level 4 code","native"
120,"CHCSC","TDWG Level 4 code","native"
120,"CHSAH","TDWG Level 4 code","native"
120,"CHSJX","TDWG Level 4 code","native"
121,"CHCYN","TDWG Level 4 code","native"
121,"CHTOO","TDWG Level 4 code","native"
121,"CHSAH","TDWG Level 4 code","native"
121,"BOR","TDWG Level 4 code","native"
121,"MYAOO","TDWG Level 4 code","native"
121,"CHCGZ","TDWG Level 4 code","native"
122,"CHSGD","TDWG Level 4 code","native"
122,"VIEOO","TDWG Level 4 code","native"
122,"CHSJX","TDWG Level 4 code","native"
122,"CHSHK","TDWG Level 4 code","native"
122,"CHCGZ","TDWG Level 4 code","native"
122,"CHCSC","TDWG Level 4 code","native"
122,"CHSZJ","TDWG Level 4 code","native"
122,"CHNSD","TDWG Level 4 code","native"
122,"CHSJS","TDWG Level 4 code","native"
122,"CHNSX","TDWG Level 4 code","native"
122,"TAIOO","TDWG Level 4 code","native"
122,"CHSAH","TDWG Level 4 code","native"
122,"IND","TDWG Level 4 code","native"
122,"CHCHU","TDWG Level 4 code","native"
122,"CHSHN","TDWG Level 4 code","native"
122,"CHCYN","TDWG Level 4 code","native"
122,"LAOOO","TDWG Level 4 code","native"
122,"CHSGX","TDWG Level 4 code","native"
122,"CHSFJ","TDWG Level 4 code","native"
123,"JAWOO","TDWG Level 4 code","native"
123,"SUMOO","TDWG Level 4 code","native"
124,"LAOOO","TDWG Level 4 code","native"
124,"MLYPM","TDWG Level 4 code","native"
124,"VIEOO","TDWG Level 4 code","native"
125,"CHSGD","TDWG Level 4 code","native"
125,"CHTOO","TDWG Level 4 code","native"
125,"SRLOO","TDWG Level 4 code","native"
125,"NEPOO","TDWG Level 4 code","native"
125,"CHSJX","TDWG Level 4 code","native"
