"ID","Reference Type","ReferenceID"
1477,"TaxAccRef",262
1478,"TaxAccRef",444
1479,"TaxAccRef",262
1480,"TaxAccRef",538
1481,"TaxAccRef",646
1482,"TaxAccRef",538
1483,"TaxAccRef",262
1484,"TaxAccRef",62
1485,"TaxAccRef",343
1486,"TaxAccRef",647
1487,"TaxAccRef",343
1488,"TaxAccRef",12
1489,"TaxAccRef",343
1490,"TaxAccRef",648
1491,"TaxAccRef",654
1492,"TaxAccRef",327
1493,"TaxAccRef",655
1494,"TaxAccRef",350
1495,"TaxAccRef",654
1496,"TaxAccRef",343
1497,"TaxAccRef",12
1498,"TaxAccRef",343
1499,"TaxAccRef",343
1500,"TaxAccRef",656
1501,"TaxAccRef",343
1503,"TaxAccRef",719
1504,"TaxAccRef",343
1505,"TaxAccRef",652
1506,"TaxAccRef",283
1507,"TaxAccRef",376
1508,"TaxAccRef",343
1510,"TaxAccRef",649
1511,"TaxAccRef",651
1513,"TaxAccRef",426
1514,"TaxAccRef",270
1515,"TaxAccRef",725
1516,"TaxAccRef",789
1517,"TaxAccRef",270
1518,"TaxAccRef",318
1519,"TaxAccRef",62
1520,"TaxAccRef",445
1522,"TaxAccRef",806
1524,"TaxAccRef",316
1525,"TaxAccRef",321
1526,"TaxAccRef",316
1527,"TaxAccRef",1040
1528,"TaxAccRef",802
1529,"TaxAccRef",807
1530,"TaxAccRef",1040
1531,"TaxAccRef",179
1532,"TaxAccRef",639
1533,"TaxAccRef",72
1534,"TaxAccRef",72
1535,"TaxAccRef",262
1536,"TaxAccRef",316
1537,"TaxAccRef",312
1538,"TaxAccRef",323
1539,"TaxAccRef",658
1540,"TaxAccRef",232
1541,"TaxAccRef",625
1542,"TaxAccRef",566
1543,"TaxAccRef",566
1544,"TaxAccRef",684
1545,"TaxAccRef",566
1546,"TaxAccRef",685
1547,"TaxAccRef",232
1548,"TaxAccRef",625
1549,"TaxAccRef",618
1550,"TaxAccRef",686
1551,"TaxAccRef",687
1552,"TaxAccRef",688
1553,"TaxAccRef",689
1554,"TaxAccRef",566
1555,"TaxAccRef",566
1556,"TaxAccRef",566
1557,"TaxAccRef",690
1558,"TaxAccRef",566
1559,"TaxAccRef",691
1560,"TaxAccRef",692
1561,"TaxAccRef",12
1562,"TaxAccRef",693
1563,"TaxAccRef",566
1564,"TaxAccRef",179
1565,"TaxAccRef",232
1566,"TaxAccRef",313
1567,"TaxAccRef",232
1568,"TaxAccRef",209
1569,"TaxAccRef",788
1570,"TaxAccRef",312
1571,"TaxAccRef",323
1572,"TaxAccRef",724
1573,"TaxAccRef",316
1575,"TaxAccRef",730
1577,"TaxAccRef",142
1579,"TaxAccRef",790
1581,"TaxAccRef",782
1582,"TaxAccRef",232
1583,"TaxAccRef",752
1584,"TaxAccRef",778
1585,"TaxAccRef",725
