"ReferenceID","Authors","Year","Title","Details"
127,"Arredondo C.",1987,"Descripción del macho y de la hembra de Lutzomyia larensis n.sp. (Diptera, Psychodidae, Phlebotominae) del Estado Lara, Venezuela).","Memórias do Instituto Oswaldo Cruz, (Rio de Janeiro), 82(3): 395-398."
128,"Floch H. & Abonnenc E.",1945,"Description d'un phlébotome nouveau de la Guadeloupe.","Archives de l'Institut Pasteur de la Guyane et du territoire de l'Inini, 96: 1-4."
129,"Le Pont F. & Pajot F. X.",1980,"Description de la femelle de Lutzomyia claustrei Abonnenc, Léger & Fauran, 1979 (Diptera, Psychodidae).","Cahiers ORSTOM, série Entomologie Médicale et Parasitologie, 18(1): 61-65."
130,"Williams P. & Carvalho A. L. M.",1979,"Description of the female of Lutzomyia (Lutzomyia) dispar, with a redescription of the male (Diptera, Psychodidae, Phlebotominae).","Journal of Medical Entomology, 16(4): 325-330."
131,"Forattini O. P. & Galati E. A. B.",1977,"Description of the female of Psychodopygus ayrozai (Barreto and Coutinho) (Diptera, Phlebotominae).","Proceedings of the Entomological Society of Washington, 79(1): 25-27."
132,"Williams P.",1987,"Description of Lutzomyia (Coromyia) disneyi n.sp. (Diptera, Psychodidae, Phlebotominae) from Belize, Central America.","Memórias do Instituto Oswaldo Cruz, (Rio de Janeiro), 82(4): 525-529."
133,"Williams P.",1988,"Descriptions of syntypes of Brumptomyia brumpti (Larrousse, 1920) (Diptera, Psychodidae, Phlebotominae).","Memórias do Instituto Oswaldo Cruz, (Rio de Janeiro), 83(3): 335-341."
134,"Coelho M. V., Falcão A. R. & Falcão A. L.",1967,"Desenvolvimento de espécies do gênero Leishmania em espécies brasileiras de flebótomos do gênero Lutzomyia França, 1924. 1 - Evolução de L.braziliensis em flebótomos.","Revista do Instituto de medicina tropical de São Paulo, 9: 179-191."
135,"",,"",""
136,"",,"",""
137,"Lewis D. J., Lainson R. & Shaw J. J.",1970,"Determination of parous rates in Phlebotomine sandflies with special reference to Amazonian species.","Bulletin of Entomological Research, (London), 60(2): 209-219."
139,"Floch H. & Abonnenc E.",1952,"Diptères phlébotomes de la Guyane et des Antilles françaises.","207 pp. ORSTOM, Paris (France)."
140,"Coquillett D. W.",1907,"Discovery of blood-sucking Psychodidae in America.","Entomological News, (Philadelphia), 18: 101-102."
141,"Mogollón J., Manzanilla P. & Scorza J. V.",1977,"Distribución altitudinal de nueve especies de Lutzomyia (Diptera, Psychodidae) en el Estado Trujillo, Venezuela.","Boletín de la Dirección de Malariologia y Saneamiento Ambiental, 17: 206-223."
142,"Romaña C. & Abalos J.  W.",1949,"Distribución de flebótomos y leishmaniosis tegumentaria en la Argentina.","Anales del Instituto de Medicina Regional, (Tucumán), 2: 293-302."
143,"Corredor A., Kreutzer R. D., Tesh R. B., Boshell J., Palau M. T., Caceres E., Duque S., Peláez D., Rodríguez G., Nichols S., Hernández C. A., Morales A., Young D. G. & Ferro C.",1990,"Distribution and etiology of leishmaniasis in Colombia.","American Journal of Tropical Medicine and Hygiene, 42(3): 206-214."
145,"Chaniotis B. N., Tesh R. B., Correa M. A. & Johnson K. M.",1972,"Diurnal resting sites of phlebotomine sandflies in a Panamanian tropical forest.","Journal of Medical Entomology, 9: 91-98."
146,"Vargas L. & Díaz Nájera A.",1952,"Dos flebótomos nuevos de México (Diptera, Psychodidae).","Revista de la Sociedad mexicana de historia natural, 13(1): 63-74."
147,"Barretto M. P.",1950,"Duas novas espécies de flebótomos brasileiros (Diptera, Psychodidae).","Folia clinica et biologica, 16: 143-149."
148,"Tesh R. B., Chaniotis B. N., Peralta P. H. & Johnson K. M.",1974,"Ecology of viruses isolated from Panamanian phlebotomine sand flies.","American Journal of Tropical Medicine and Hygiene, 23: 258-269."
149,"Forattini O. P.",1973,"Entomologia Médica. IV. Psychodidae Phlebotominae. Leishmanioses. Bartonelose.","658 pp. Edgard Blücher L.T.D.A./ Editora da Universidade de São Paulo, São Paulo (Brazil)."
677,"Feliciangeli M. D.",1995,"Phlebotomine sandflies in Venezuela. IV. Review of the Lutzomyia subgenus Micropygomyia (Diptera : Psychodidae), with a description of Lutzomyia absonodonta n. sp. and the male of Lutzomyia lewisi.","Annals of Tropical Medicine and Parasitology, 89(5): 551-567."
151,"Cazorla D., Añez N. & Nieves E.",1988,"Epidemiología de la leishmaniasis tegumentaria en Mérida, Venezuela.II. Redescripción de Lutzomyia yencanensis (Ortiz,1965)(Diptera : Psychodidae).","Memórias do Instituto Oswaldo Cruz, (Rio de Janeiro), 83(4): 481-484."
152,"Navín T. R., Sierra M., Custodio R., Steurer F. J., Ronter CH & Ruebus T. K.",1985,"Epidemiologic study of visceral leishmaniasis in Honduras 1975 - 1983.","American Journal of Tropical Medicine and Hygiene, 34: 1069-1075."
153,"Naiff R. D., Freitas R. A., Naiff M. F., Arias J. R., Barrett T. V., Momen H. & Grimaldi Jr G.",1991,"Epidemiological and nosological aspects of Leishmania naiffi Lainson and Shaw, 1989.","Memórias do Instituto Oswaldo Cruz, (Rio de Janeiro), 86(3): 317-321."
154,"Corredor A., Gallego J., Tesh R. B., Morales A., Ferro C., Young D. G., Kreutzer R. D., Boshell J., Palau M. T., Caceres E. & Peláez D.",1989,"Epidemiology of visceral leishmaniasis in Colombia.","Journal of Tropical Medicine and Hygiene, 40(5): 480-486."
155,"Ramírez Pérez J., Rodríguez O. G., Ramírez A. & Carvillo F.",1978,"Estudio de la fauna flebotómica del Estado Aragua (Venezuela)..","Boletín de la Dirección de Malariologia y Saneamiento Ambiental, 18(1): 43-80."
156,"Ramírez Pérez J. & Ramírez A.",1981,"Estudio de la fauna flebotómica del Estado Barinas (Venezuela).","Boletín Dermatológico Sanitario, 18(1): 21-50."
157,"Gonzáles R.",1984,"Estudio de la faùna flebotómica del Estado Bolivar La Paragua, Dro. Heres.","Acta Cientifica Venezolana, 35(1): 384-384."
